Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Description,Job Levels,Assessment Length,Tags
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,Yes,,P,"The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors 
that underlie successful and safe performance in an industrial/manufacturing setting. This 
solution assesses foundational behaviors including behaving safely in the workplace; applying 
domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machining and Equipment Operators, 
Laborer/Warehouse, Assemblers and Fitters, Maintenance/Repair Workers, Dispatchers, 
Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship Loaders.","Mid-Professional, Professional Individual Contributor, Entry-Level, Graduate, Manager,",Approximate Completion Time in minutes = 16,"['Manufacturing', 'Industrial', 'Safety', 'Domain Expertise', 'Practical Solutions', 'Multitasking', 'Machining and Equipment Operators', 'Laborer/Warehouse', 'Assemblers and Fitters', 'Maintenance/Repair Workers', 'Dispatchers', 'Surveillance', 'Quality Assurance Workers', 'Material Handlers', 'Truck/Ship Loaders', 'Job-Focused Assessment', 'Behavioral Assessment']"
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,Yes,,AP,"The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses mechanical comprehension and other foundational behaviors 
including behaving safely in the workplace; applying domain-related expertise; offering 
practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, and Maintenance/Repair Workers.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 31,"['Manufacturing', 'Industrial', 'Mechanical Comprehension', 'Mechanical Aptitude', 'Safety', 'Domain Expertise', 'Practical Solutions', 'Multitasking', 'Machine Operators', 'Equipment Operators', 'Assemblers', 'Fitters', 'Maintenance Workers', 'Repair Workers', 'Job-Focused Assessment', 'Behavioral Assessment']"
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,Yes,,AP,"The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses process monitoring and other foundational behaviors including 
behaving safely in the workplace; applying domain-related expertise; offering practical 
solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers & Fitters, Maintenance/ Repair Workers, Dispatchers, Surveillance, Quality 
Assurance Workers","Entry-Level, Mid-Professional, Professional Individual Contributor, Graduate, Manager,",Approximate Completion Time in minutes = 34,"['Manufacturing', 'Industrial', 'Vigilance', 'Process Monitoring', 'Safety', 'Domain Expertise', 'Practical Solutions', 'Multitasking', 'Machine Operators', 'Equipment Operators', 'Assemblers', 'Fitters', 'Maintenance Workers', 'Repair Workers', 'Dispatchers', 'Surveillance', 'Quality Assurance', 'Job-Focused Assessment', 'Behavioral Assessment']"
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,Yes,,K,"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 9,"['Marketing Principles', 'Market Research', 'Consumer Behavior', 'Brand Management', 'Sales Management', 'Channel Management', 'Advertisement Management', 'Conceptual Knowledge', 'Multiple Choice']"
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,Yes,,K,"Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,"['Maven', 'build automation', 'dependency management', 'Project Object Model (POM)', 'Maven installation', 'Maven dependencies', 'Maven builds', 'Maven plugins', 'multi-choice', 'software development', 'build tools']"
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,Yes,,K,"Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,"['Mechanical Engineering', 'Fluid Mechanics', 'Machine Mechanics', 'Thermodynamics', 'IC Engines', 'Manufacturing Science', 'Conceptual Knowledge', 'Multiple Choice Questions']"
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,Yes,,K,"Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 19,"['Mechatronics Engineering', 'Mechatronics Systems', 'Sensors', 'Actuators', 'Control Elements', 'Feedback Devices', 'Computational Elements', 'Mechanical Engineering', 'Electrical Engineering', 'Computer Engineering', 'Automation', 'Robotics', 'Multi-choice Questions', 'Technical Knowledge']"
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,Yes,,K,"Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 3,"['Medical Terminology', 'Healthcare', 'Medical Abbreviations', 'Human Anatomy', 'Diseases', 'Diagnosis', 'Medical Knowledge', 'Multi-Choice Questions']"
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,Yes,,K,"Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 10,"['Metallurgical Engineering', 'Process Metallurgy', 'Industrial Metallurgy', 'Physical Metallurgy', 'Multi-choice', 'Engineering']"
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,,D,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that.",,,"['leadership', 'enterprise leadership', 'competency model', 'report', 'MFS 360', 'executive leadership', 'management', 'performance management']"
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,,D,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report.",,,"['360 feedback', 'group report', 'performance review', 'leadership assessment', 'team assessment', 'aggregated data', 'MFS', 'multi-source feedback', 'development tips (absent)']"
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,,D,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential.  The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra.",,,"['MFS', 'OPQ', 'competency assessment', 'performance assessment', 'potential assessment', 'strengths identification', 'development needs', 'untapped potential', 'performance vs potential', 'four-field grid', 'developed strengths', 'natural strengths', 'development tips', 'SODA', 'TC', 'score upload', 'report generation']"
